0.77	16.44	8	17.97
0.79	16.94	8	32.71
1.14	24.46	8	39.32
0.58	12.52	8	25.3
0.6	12.8	8	28.17
0.77	16.44	8	11.1
0.6	13.03	8	26.55
0.37	7.84	8	27.7
0.93	19.74	6	37.82
0.96	20.44	6	34.86
1.39	29.53	6	55.35
0.71	15.6	6	36.44
0.73	15.45	6	39.9
0.56	11.98	6	30.23
0.74	15.77	6	34.664
0.45	9.32	6	38.47
0.43	9.23	12	17.05
0.48	10.12	12	13.614
0.53	11.17	12	25.53
0.51	10.66	12	20.76
0.88	17.82	3	167.09
1.54	33.61	3	178.25
2.22	48.55	3	208.58
1.12	22.68	3	128.77
1.16	25.39	3	151.01
1.09	21.9	3	98.47
1.3	26.21	3	122.79
0.68	13.12	3	81.78
0.72	15.8	4	86.365
1.25	26.48	4	89.5
1.81	38.25	4	106.69
0.91	19.06	4	69.58
0.95	20.01	4	71.527
0.89	18.54	4	44.33

