0.77	16.44	8	12.6588	6.16	17.97
0.79	16.94	8	13.3826	6.32	32.71
1.14	24.46	8	27.8844	9.12	39.32
0.58	12.52	8	7.2616	4.64	25.3
0.6	12.8	8	7.68	4.8	28.17
0.77	16.44	8	12.6588	6.16	11.1
0.6	13.03	8	7.818	4.8	26.55
0.37	7.84	8	2.9008	2.96	27.7
0.93	19.74	6	18.3582	5.58	37.82
0.96	20.44	6	19.6224	5.76	34.86
1.39	29.53	6	41.0467	8.34	55.35
0.71	15.6	6	11.076	4.26	36.44
0.73	15.45	6	11.2785	4.38	39.9
0.56	11.98	6	6.7088	3.36	30.23
0.74	15.77	6	11.6698	4.44	34.664
0.45	9.32	6	4.194	2.7	38.47
0.43	9.23	12	3.9689	5.16	17.05
0.48	10.12	12	4.8576	5.76	13.614
0.53	11.17	12	5.9201	6.36	25.53
0.51	10.66	12	5.4366	6.12	20.76
0.88	17.82	3	15.6816	2.64	167.09
1.54	33.61	3	51.7594	4.62	178.25
2.22	48.55	3	107.781	6.66	208.58
1.12	22.68	3	25.4016	3.36	128.77
1.16	25.39	3	29.4524	3.48	151.01
1.09	21.9	3	23.871	3.27	98.47
1.3	26.21	3	34.073	3.9	122.79
0.68	13.12	3	8.9216	2.04	81.78
0.72	15.8	4	11.376	2.88	86.365
1.25	26.48	4	33.1	5	89.5
1.81	38.25	4	69.2325	7.24	106.69
0.91	19.06	4	17.3446	3.64	69.58
0.95	20.01	4	19.0095	3.8	71.527
0.89	18.54	4	16.5006	3.56	44.33

